thermostat,id,name,temp,setpoint,time
EMEA_ZONE,7072444,Slp. R&M,23.0,5.0,2022-05-06 19:43:49.549302
EMEA_ZONE,7073860,Woonkamer,22.0,5.0,2022-05-06 19:43:49.549337
EMEA_ZONE,7162110,Slp. Harvey,24.0,5.0,2022-05-06 19:43:49.549348
EMEA_ZONE,7337783,Logeerkamer,21.5,5.0,2022-05-06 19:43:49.549356
EMEA_ZONE,7403694,Badkamer,23.0,25.0,2022-05-06 19:43:49.549363
EMEA_ZONE,7403695,1e overig,23.0,18.0,2022-05-06 19:43:49.549371
EMEA_ZONE,7406169,Zolder,22.5,5.0,2022-05-06 19:43:49.549379
EMEA_ZONE,7403678,?,,62.0,2022-05-06 19:43:49.549386
EMEA_ZONE,7072444,Slp. R&M,23.0,5.0,2022-05-06 19:58:56.866099
EMEA_ZONE,7073860,Woonkamer,22.0,5.0,2022-05-06 19:58:56.866133
EMEA_ZONE,7162110,Slp. Harvey,24.0,5.0,2022-05-06 19:58:56.866144
EMEA_ZONE,7337783,Logeerkamer,21.5,5.0,2022-05-06 19:58:56.866152
EMEA_ZONE,7403694,Badkamer,23.0,25.0,2022-05-06 19:58:56.866159
EMEA_ZONE,7403695,1e overig,23.0,18.0,2022-05-06 19:58:56.866167
EMEA_ZONE,7406169,Zolder,22.5,5.0,2022-05-06 19:58:56.866175
EMEA_ZONE,7403678,?,,62.0,2022-05-06 19:58:56.866182
